Palabra, Ocurrencias
wedding,0
wed,0
web,6
weazell,0
weather,9
weary,1
weariness,0
youthfulness,0
wiry,1
wearied,0
wearie,0
wearer,0
weare,0
wear,12
wean,0
wealthy,1
weakly,0
weaken,0
we,32
wayward,0
wayside,0
wayfarer,0
wayes,0
wax,1
waverer,0
waver,0
wave,3
waue,0
watering,0
watchtower,0
watchmen,0
watchfulness,0
watcher,0
wast,0
wassel,0
washington,0
washing,1
washerwoman,0
washball,0
wary,0
warwickshire,0
wart,0
warre,0
warrantie,0
warp,0
warn,4
warmth,3
warmint,0
warlicke,0
warehouse,3
wardrobe,0
warder,0
ward,2
wantonly,0
wanton,1
wanted,0
wane,1
wandring,0
wandering,0
wanderer,0
wandered,0
wander,5
wand,0
wan,0
walnut,0
wallow,0
wall20,1
wall,15
wring,2
walks,0
walked,0
wale,0
waking,0
wakeful,0
wake,1
waiter,0
waistband,0
wailings,1
waile,0
waight,0
waggoner,0
waggishness,0
wager,0
wagabond,0
wag,1
vv,0
vulnerable,0
vulgar,0
vttere,0
vtter,0
vsurpe,0
vsurp,0
vse,0
vs,0
vppon,0
vpon,0
voyce,0
vowel,0
vowe,0
vould,0
vortex,0
voluptuous,0
volunteer,8
voluble,0
voltumand,0
volly,0
volley,0
vogue,0
vocular,0
vnworthy,0
vnwholsome,0
vntill,0
vnsinnowed,0
vnsifte,0
vnshape,0
vnshaken,0
vnseene,0
vnseale,0
vnschool,0
vnsanctifie,0
yon,0
vnreclaim,0
vnpreuayling,0
vnpregnant,0
vnpollute,0
vnpegge,0
vnpacke,0
vnmatch,0
vnmaske,0
vnmannerly,0
vnlimite,0
vnknowne,0
vnknowe,0
vnkle,0
vnkinde,0
vnkennell,0
vniuersity,0
vnite,0
vnimproue,0
vnholy,0
vnhatch,0
vnhand,0
vngorg,0
vnforc,0
vnfledg,0
vndoe,0
vndiscouere,0
vndertaking,0
vndertake,0
vnderstande,0
vnderstand,0
vnder,0
vnction,0
vncle,0
vncharge,0
yonger,0
vnbrac,0
vlcerous,0
vivid,0
vivacity,0
vivaciously,0
vith,0
vitae,0
visor,0
visitor,2
vouch,0
visite,0
visit,5
visible,4
visaged,0
violl,0
violets,0
violet,0
violently,1
warden,0
violence,0
violate,1
vinous,0
vineyards,0
ville,0
villainous,0
villain,0
villager,0
vilkin,0
vilest,0
vilely,0
vile,1
vilde,0
viii,1
vigourous,0
vigorously,0
vigorous,0
vigilant,0
vigilance,0
victual,0
vicinity,0
vice,0
vibrate,2
vi,0
vgly,0
vexation,0
vex,0
vesture,0
vestige,1
vestal,0
vertuous,0
version,1
verses,0
verse,0
verify,0
veriest,1
verie,0
verdict,0
ventures,0
venture,2
venome,0
venom,0
venge,0
veneration,1
vendor,0
vendible,0
veins,0
vein,2
vehemently,0
vehement,0
vehemence,0
vegetation,1
vegetate,0
vbique,0
vauxhall,0
vaunt,0
vasty,0
variously,0
various,3
variety,1
variant,1
wide,9
variance,0
vapours,0
vantage,0
vanquisher,0
vanity,0
vanisht,0
vanilla,2
vampire,0
valour,0
valise,0
validity,0
validitie,0
valiantly,0
valiant,0
valet,0
vaine,0
vaile,0
vaguely,1
vagabond,0
vacation,0
vacancie,0
uttermost,0
uttering,0
uttered,0
utterance,1
utter,0
utmost,1
utensil,0
usur,0
usually,2
usual,6
using,0
useless,1
usage,0
us,0
urgent,0
urge,0
urg,0
urchin,0
upwards,0
upward,0
upturned,0
upstairs,2
upside,2
upset,0
uprous,0
uprose,0
upper,2
upon,120
uplifted,0
upheld,1
update,1
unworthy,0
unworthiness,0
unworthily,0
unworthi,0
unwillingly,0
unwilling,0
unwieldy,0
unwept,1
unwelcome,0
unwearie,0
unwashed,0
untroubled,0
untracked,0
untold,0
waxe,0
unto,0
untimely,0
untie,0
untidy,0
unthrifty,0
untalk,0
unswallowed,0
unsuspicious,0
unsuitable,0
unstuff,0
unstrappe,0
unsteadily,0
unsolicited,1
unsightly,0
unshape,0
unshade,0
unselfishness,0
unseen,1
unseemly,1
unseal,0
xxv,0
unschool,0
unsatisfactory,0
vaunted,0
unsafe,0
wonderful,9
unreserved,0
unrelenting,0
unreasonable,0
unreality,0
unreal,0
unquenchable,0
ventige,0
unprovoked,0
unprotected,0
unprotecte,0
unpromise,0
waterfall,0
unpractis,0
unpopularity,0
unpoliteness,0
unpolite,0
unpleasant,1
unplagu,0
unperceived,0
unornamental,0
unopened,0
unoffending,0
unoccupied,0
unobserved,0
unnecessary,0
unnaturally,0
unmusical,0
unmoved,1
unmove,0
unmixed,0
unmindful,0
vnprofitable,0
unmannerly,0
unmann,0
unmade,0
unluckily,0
unloosened,0
unloose,0
unlocked,0
unlock,0
unlink,1
unlimited,0
unlikely,1
unlesson,0
unlawful,0
unkempt,0
unjustly,0
unjust,0
university,0
universally,0
unite,0
unit,0
uninterrupted,0
unintentionally,0
unintelligible,0
uninhabited,0
unimportant,0
unimpeachable,0
unimpaired,0
unimpaire,0
unimagine,0
unify,0
uniformly,0
unicorn,0
unharm,0
unhardened,0
unhappiness,0
unhappily,0
unhandle,0
unhand,0
unhallowed,1
ungratefullest,0
ungrateful,1
unglazed,0
ungenerous,0
ungainly,0
unfurnish,0
unfruitful,0
unfounded,0
unformed,0
unforfeited,0
unforeseen,0
unfirm,0
unfinished,0
unfeignedly,0
unfeele,1
unfavourable,0
unfathomable,0
unfashionable,0
unfair,0
unfaile,0
unexplained,0
unexpected,0
uneven,0
unequally,0
unencumbered,0
unemployed,0
unembellishe,0
uneasy,1
uneasily,0
unearthly,1
undutiful,0
victorious,0
undue,0
undraw,0
undoubtedly,0
undistinguishable,0
undisclosed,0
undiminishe,0
undeserve,0
undertone,0
unprepared,0
undertaking,0
undertaker,2
understand,5
undermine,1
undergrown,0
underground,0
undergraduate,0
undergone,0
underdone,1
undecided,0
uncover,0
uncorrupted,0
unconnected,0
unconditionally,0
uncommon,2
uncomfortably,1
unclose,0
uncleansed,0
uncle,20
unchangeable,0
voluntary,0
uncertainty,0
unceasingly,0
uncarpeted,0
uncapable,0
unc,0
unburden,0
unbound,0
unborn,0
unblushe,0
unbent,0
unbelieve,0
whichever,0
unbeknown,0
view,8
unbarred,0
unavenge,0
unavaile,1
unreservedly,0
unattainted,0
unattainable,0
unadvi,0
unadorned,0
unaccuse,0
unaccountable,0
un,0
umph,0
um,0
ultimately,0
ultimate,0
ugly,1
ugliness,0
ubiquitous,1
typos,0
typify,0
tyburn,0
tyb,0
txt,0
twopenny,0
two65,1
two,37
twixt,0
twitch,0
twisting,1
twinkle,1
twine,1
twin,0
twill,0
twer,0
twentieth,0
twelvemonth,0
twelve,8
twelfth,2
tweene,0
tweake,0
twa,0
tut,1
tush,0
turneth,0
turned,3
upturne,0
turn,25
turmoil,0
turk,0
turfe,0
turbulently,0
turbulent,0
turbulence,0
universe,0
turban,0
tunic,1
tune,3
tumultuously,0
tumultuous,1
voucher,0
tumult,1
tumbling,0
tumbler,1
tumble,3
tuilerie,0
xii,0
tug,1
tuesday,0
tuck,0
widdow,0
tub,0
whereas,0
tst,0
tryall,0
try,14
wells,0
trusty,0
truster,0
trustee,0
waterflie,0
trust,1
trunk,1
truncheon,0
trumpet,0
truly,2
trulie,0
truest,0
truepenny,0
trudge,0
truckle,0
unequal,0
troublesome,0
trouble,3
trotting,0
troth,0
trot,1
trophy,0
trojan,0
trod,0
trivial,1
triumvirate,0
triumphantly,1
triumphant,0
triuiall,0
tristfull,0
trippingly,0
trinket,0
trinity,0
trim,4
trifling,0
unshaven,0
tried,2
trident,0
tride,0
tricoloure,0
tricksy,0
trickling,0
trickle,0
tricke,0
tributary,0
trial,1
tri,0
tressel,0
trepidation,0
trench,0
tremulous,2
tremendously,1
tremendous,1
tremble,6
tree,2
treble,0
treatment,1
treat,0
treasonable,0
treason,0
whispering,0
treadmill,1
treading,0
tread,1
vie,0
treacherie,0
traverse,0
travelling,0
traveller,1
trappings,0
transport,1
transparent,3
translator,0
translate,0
transition,1
withhold,0
transgression,0
transforme,0
transform,0
tropically,0
transfer,1
transaction,0
trans,1
tranquilly,0
tranquillise,0
tramper,0
traitorous,0
traitor,0
training,0
train,1
tragedy,0
tragedie,0
trading,0
trademark,11
trade,3
track,0
trace,2
toys,2
toyle,0
toy,1
townspeople,0
weeps,0
towards,19
toward,0
tow,0
tough,1
touching,0
touch,11
tottering,0
totter,0
vneffectuall,0
toss,1
torturest,0
torturer,0
torture,2
tortoise,0
torrent,0
torment,0
top,19
toothless,0
toothache,0
toor,0
tooke,0
tonight,0
tongue,0
tong,1
tone,0
tommy,0
tombstone,0
tom,0
toll,2
tolerably,1
tolerable,0
traueller,0
tol,0
undrew,0
toilet,0
toil,1
toe,0
today,0
toby,0
tobaccoey,0
toad,0
tm,57
tittering,0
title,1
titan,0
tissue,0
tiresome,0
tiptoes,0
tiptoe,1
tipsy,0
tiny,25
tinker,0
tingle,0
tinder,0
tinct,0
timidity,0
timid,0
times,0
timely,0
time,77
timbre,0
xiv,0
timber,0
tim,28
till,4
tile,2
tigress,0
tightly,0
tight,5
tier,0
tie,1
tiding,0
tickling,0
ticket,0
ticker,0
urgest,0
tice,0
ti,0
thyself,0
thus,5
thumbed,0
thumb,0
thsunne,0
throwing,0
throughout,1
throughfare,0
unison,0
throng,0
throbbing,0
thrive,0
thrilled,1
thrill,0
thrifty,0
thrift,0
threshold,3
threescore,0
threatne,0
threatening,0
threat,0
threadbare,2
thread,1
thrash,0
thousandfold,0
thoughts,0
thoughtfully,3
thoughtful,3
though,32
thoroughly,1
thoroughfare,1
thorny,0
thorn,0
thither,3
thirty,1
thirtie,0
thirteen,0
thirsty,0
thirst,0
thirdly,0
third,3
thinkst,0
think,53
thing,31
thine,1
thievish,0
thieved,0
thieve,0
thief,0
thickness,0
thick,3
thermometer,1
therfore,0
thereupon,0
theretofore,0
thereto,0
thereon,0
thereof,0
therein,0
therefore,4
torchbearer,0
thereby,0
thereat,0
thicke,0
thereafter,0
thereabout,0
theirselves,0
theft,0
theatrical,0
theater,0
theame,0
thawed,1
thankye,0
thanking,0
thankfulness,0
thankfully,0
thankful,2
thanked,1
thanke,0
thames,0
thame,0
th,0
tetter,0
tethered,0
tetchy,0
testimony,0
testify,0
testament,0
test,0
terrified,1
terrific,0
unthrift,0
terrible,3
terminate,0
termagant,0
tenth,0
tenterhook,0
thinly,0
tennis,0
tenderness,2
tenderest,1
tender,1
tendency,1
tend,1
vain,4
tenant,0
ten,2
wiki,0
tempter,0
tempt,0
temporary,0
temple,0
template,0
tempest,0
temperature,1
temperance,0
temp,0
tells,0
tell,36
telescope,0
teem,0
tokens,0
tediousness,0
tears,1
tearmes,0
tearful,0
teapot,0
youth,1
team,2
teaches,0
teacher,0
teach,3
teaboard,0
td,1
taxis,1
taxer,0
tax,6
tawny,0
tattere,0
tatt,0
taste,2
ue,0
tast,0
task,1
tartness,1
weak,3
tartly,0
tartar,0
tarry,2
tarre,0
tarnish,0
target,0
tardy,0
tardie,0
tape,0
tantalise,0
tannery,0
tank,6
tangible,0
tane,0
tan,0
tamper,0
tame,0
tallow,0
talking,0
talke,0
talisman,0
truant,0
talent,0
takin,0
taker,0
taken,0
take,42
tak,0
tainted,0
tailpiecevi,1
tailpiece,5
tailor,1
unhappy,2
tage,1
tactician,0
tack,0
tacitly,1
systematically,0
system,0
synonymous,1
synod,0
synagogue,0
sympathise,0
trauaile,0
symbolical,0
symbol,0
syllable,1
syd,0
sycamore,0
wittingly,0
swubble,0
sworne,0
swore,0
sword,1
swoop,0
swipe,0
swinge,1
swiftly,1
swifter,0
swift,0
swell,1
sweetmeat,0
sweetly,0
sweetest,0
sweete,0
taint,0
sweet,1
truth,5
swearing,0
swear,0
swe,1
swashing,0
swarthy,1
sweeten,1
swarm,0
swan,1
swamp,1
swam,0
swagger,0
suzanne,2
turnkey,0
sute,0
sustaining,0
sustained,0
sustaine,0
suspiration,0
suspicious,3
suspicion,0
suspense,0
suspect,2
susceptibility,0
survivor,0
survey,0
suruiuer,0
surround,2
surrey,0
surrender,0
uncontrollable,0
surprize,0
surprisingly,0
surprised,3
surprise,8
two37,1
surplus,3
surmount,1
surly,0
surge,0
surf,0
surer,0
surely,5
surcease,0
suprise,0
suppresse,0
suppress,0
suppos,0
supplicatory,0
suppliance,0
supplication,1
supplementary,0
supple,0
supperless,0
supper,0
supervised,0
superuize,0
superstitious,0
supersede,0
superscribed,0
supernaturally,0
supernatural,3
superlative,0
superior,0
superintendence,0
superfine,0
superb,0
voluntarily,0
superadde,0
throw,3
sup,0
sunsite,0
sunshine,0
sunset,0
sunniest,1
sunne,0
sunlight,1
sunken,0
sunk,1
sung,1
sundry,0
sundrie,0
sunder,0
sundays,0
sunday,4
sunburnt,0
sun,3
sumptuous,0
summon,0
summit,0
summary,0
summarily,0
sum,1
sultry,0
sultan,1
sulleyes,0
sullenness,0
sullen,1
sulky,0
suitor,0
suites,0
suited,0
suitably,0
suitable,1
suit,0
unmitigated,0
suggest,0
sufficient,2
westward,0
suffering,0
sufferer,0
sufferance,0
suffer,3
sud,0
sucking,0
succour,0
successive,0
successiue,0
succession,0
successful,0
succeed,3
suburbs,0
subtle,0
subtilly,0
substratum,0
substitution,0
substitute,1
substantive,0
subsistence,0
vnwatch,0
subsequently,1
subsequent,0
term,22
subscription,0
ventured,0
subordinate,0
submissively,1
submissive,0
sublimer,0
subject,4
subdued,0
subdue,0
stythe,0
styling,0
stye,0
sturdy,1
stupor,0
stupifie,0
stupidity,0
stupefied,0
stupefaction,0
stunning,0
stun,0
stump,0
stumblest,0
stuffing,1
stuff,2
studious,0
stuck,0
stubborne,0
stubble,0
strutted,1
vacantly,0
struggling,0
strucken,0
strop,0
strooke,0
unceremoniously,0
thou,2
stroll,2
striven,0
stripe,0
string,0
striking,0
strife,1
stride,0
volume,0
strictly,1
strict,1
strick,0
strewments,0
thump,0
strew,0
stretcht,0
stretch,3
stress,0
strengthen,0
strength,1
streets,0
streams,0
streaming,0
streame,0
stream,2
streaky,0
streak,1
stre,0
straying,0
strate,0
tint,1
strap,0
strangle,0
uncommonly,0
strange,15
vermin,0
toast,1
strand,0
strait,1
strained,0
straightway,0
straightforward,0
straggle,1
vnuallue,0
stove,1
stouter,0
story,1
storme,0
storie,0
storey,1
storehouse,1
store,2
stopping,0
stoppes,0
stoppage,0
stopp,0
stop,19
stoode,0
stood,0
stony,1
stomacke,0
stole,0
stol,0
stoke,0
stockish,0
stockinge,0
valuable,0
stocking,1
stock,0
supposition,2
stoccata,0
stitch,0
stirr,0
stir,4
stint,0
stink,0
unwholesome,0
stingy,1
sting,0
stimulate,0
still,17
stile,0
stifled,0
stiffly,0
stiffening,0
vnrung,0
stiffely,0
stew,0
sternness,0
stern,0
stepped,0
step,3
stentorian,0
stench,0
stem,1
steerage,0
wentur,0
steepness,0
steel,2
wisite,0
steed,0
steaming,0
steam,2
stealthily,0
stealth,0
steale,0
strumpet,0
steal,2
steady,4
steadiness,2
steadfastness,0
steadfastly,0
stay,3
stave,18
staunch,0
statute,0
stature,1
statue,1
stationary,0
station,2
states,9
statement,1
stately,1
stateliness,0
state,19
starve,0
starvation,0
starv,0
taciturn,0
startling,0
startles,0
starting,1
start,9
walke,0
starre,0
stark,0
starer,0
stared,0
standing,2
standard,0
stand,33
stammer,0
stale,1
stake,1
stairs,0
staire,0
staircase,1
stainless,0
stain,0
staid,0
staggering,0
stage,1
staffe,0
staff,1
squeaking,0
squash,0
squaring,0
square,0
squander,0
squalor,0
squalid,0
squabble,0
squab,1
vengeance,0
spyers,0
whoop,3
spurrer,0
spurne,0
spurn,0
spur,1
sternly,1
spundge,0
sprung,0
spruce,0
sprite,0
sprinkle,2
springs,0
spring,6
sprightly,0
sprig,0
spread,4
spray,1
sprang,0
stick,6
spouse,0
sporadic,0
unsentimental,0
spoonful,0
spoon,2
spontaneous,1
split,2
splinter,1
spleenatiue,0
spleen,0
splashing,0
spitalfield,0
spirited,0
spirit,109
spire,0
spinnage,0
spin,0
spight,0
spick,0
spice,1
stradeger,0
spet,0
spend,2
spell,0
speedy,0
speed,3
speechlesse,0
speech,1
spectre,13
spectacularly,0
spectable,0
speckle,1
speck,1
specimen,0
specify,2
specie,0
specially,0
speciall,0
special,2
spear,0
speak,23
superfluity,0
sparrow,0
sparkling,0
sparingly,0
spared,0
spare,2
spanish,2
spaniel,0
spake,0
spak,0
space,3
soyle,0
sown,0
sowing,0
sow,1
southwark,0
southern,0
sourse,0
source,1
sour,0
soup,0
soundness,0
sounding,0
sounder,0
sound,14
soultry,0
soule,0
souldier,0
soul,5
sortin,0
unavailingly,0
sorry,7
sorrowfully,0
sorrowful,2
sorrowes,0
tent,0
sordidly,0
sordid,1
sophy,0
soonest,0
sontie,0
sonorous,0
sonnes,0
son,4
somnet,0
somethink,0
something,14
someone,0
vnequall,0
sombre,0
solyman,0
solve,0
solution,1
solomon,0
solitary,4
solidity,0
verona,0
verging,0
solicitude,0
solicitor,0
unlike,2
solicitation,1
solemnly,0
solemnity,0
solemne,0
solemn,4
solely,0
sole,6
soldiour,0
soldiery,0
solace,0
sol,0
worship,0
student,0
soke,0
soil,0
software,0
softness,0
wond,0
softened,0
soft,1
sodden,0
society,0
social,0
sociably,0
sociable,0
sobs,0
sobriquet,0
sobriety,0
sober,0
virtue,0
sobbed,0
sob,2
soar,0
vagrancy,0
snuffing,0
vncurrant,0
snuffbox,0
sulphur,0
soliloquy,0
snuff,3
snub,0
snowstorm,1
snort,0
troop,0
snore,1
snooze,0
snivel,0
snip,0
sniff,0
sneer,0
snatch,0
snare,0
snapper,0
snap,1
snake,0
smuggler,0
smothering,0
smother,1
smote,0
smot,0
stealer,0
smoothnesse,0
smoothness,0
undirected,0
smooth,2
smoked,0
smiting,0
smithy,0
smith,0
smite,0
smirk,0
smiling,0
smilest,0
smels,0
smell,4
smatter,0
smash,0
smart,2
smallness,0
smallest,0
small,13
smacking,0
sure,13
smack,0
slyly,1
sly,0
sluttish,0
surety,0
slunk,1
slung,0
slumber,0
sluice,0
sluggishly,0
slow,5
slough,0
slips,0
slippere,0
slip,0
slubber,0
slinking,0
slink,0
stipulation,0
sprindge,0
slimy,0
slime,0
slightly,0
triumph,0
slept,0
slender,0
undone,0
sleet,1
sleepy,0
sleepless,0
sleek,0
sledde,0
slay,0
slavish,0
slavery,0
wordy,1
slaught,0
slap,0
slander,1
sland,0
slake,0
slaine,0
slain,0
skulk,0
skirts,0
skipper,0
skip,1
skinnes,0
skin,1
skim,1
skilless,0
skill,0
skilfully,0
sketch,0
skelter,0
stair,5
skater,1
vnhouzzle,0
sized,0
size,5
siz,0
sixty,1
sixeteene,0
six,4
situated,0
situate,0
sitting,1
sitivation,0
site,4
sitch,0
sisterhood,0
sister,16
sip,0
sinne,0
sink,3
vindictive,0
sings,0
singly,0
singleness,0
single,1
singeth,0
singer,1
unpleasing,0
sing,1
sinful,0
weaknesse,0
sinewes,0
sindge,0
sincerely,0
simultaneously,0
vnmastre,0
simultaneous,0
simply,0
simple,2
simon,0
simmer,1
simile,1
similarly,1
similar,1
weeping,0
silver,3
silly,1
silken,1
silently,1
silent,1
silence,3
sikes,0
sike,0
signior,0
signify,0
signifie,0
significantly,0
signet,0
signature,0
signally,0
untrue,1
tertia,0
sight,9
sigh,1
sideways,0
smiled,0
sidelong,0
sidebar,0
side,10
sicknesse,0
simplicity,0
sickness,0
valentio,0
sickening,0
sicken,0
sick,1
sibylla,0
shyly,1
shylock,0
shutter,4
shut,10
whiter,0
sully,0
shunn,0
shun,1
shuffling,1
shuffel,0
zealous,0
shuddered,0
shudder,2
shudd,0
shrunke,0
transmutation,0
shrunk,1
shrug,0
shrouded,0
shrivel,2
shriv,0
shriue,0
shrine,0
shrillness,0
solemnize,0
shrill,0
shriek,1
shrewsbury,0
shrewdly,1
shrewd,0
wore,0
showing,0
showed,0
shovel,3
shove,0
shouting,0
shout,3
tower,1
shouldst,0
unfrequently,0
shoulder,2
shoul,0
shouell,0
stomachs,0
shot,1
shortly,0
short,7
shore,2
shopkeeper,1
shop,9
shoote,0
shoot,1
shooe,0
shoemaking,0
shoemaker,0
shoe,4
shocke,0
shock,0
shivering,0
shiver,2
ships,0
understanding,1
shipping,0
shippe,0
ship,2
shiner,0
shin,0
shilling,3
shillin,0
shill,0
shifted,0
shift,0
shield,0
shewne,0
suffused,0
shewes,0
shewe,0
shew,0
sheriff,0
shepperton,0
shelter,0
shell,2
visibility,1
sheer,0
sheepe,0
sheep,0
sheene,0
sheen,1
shee,0
shed,4
sheba,1
shawl,1
sharply,0
sharpe,0
visionary,0
sharde,0
shape,7
shank,0
shamefully,0
shamefull,0
sham,0
shalt,0
shallow,0
shal,0
shakespeare,0
shady,0
shadowy,3
shadowes,0
shadowe,0
shadow,18
shade,2
shabby,1
sexton,1
sex,0
woer,0
sewing,1
underline,1
skain,0
severity,1
severest,0
severely,0
since,4
severe,1
severally,1
several,7
seventy,1
seventeen,0
sevenpence,0
settlement,0
vnckle,0
settled,0
setting,1
set,21
session,0
steep,1
servility,0
service,4
served,0
serve,2
servants,0
servant,2
serv,0
serue,0
seruant,0
seru,0
serpent,0
seriuce,0
seriously,0
serious,2
series,0
serenity,0
serene,0
sequestrate,0
sequell,0
shooes,0
sequel,0
sepulchral,0
whoever,0
sepulcher,0
unattended,0
september,0
sentinel,0
sentiment,1
sentence,2
sensuality,0
sneaking,0
sensual,0
sensibly,0
sensibility,0
senselesse,0
senseless,0
sense,5
senior,0
sending,0
send,9
veinous,0
semblance,0
topgallant,0
selue,0
seller,0
selle,0
sell,1
selfishness,1
selfe,0
self,12
selection,0
select,1
seldom,1
seize,3
unsuccessful,0
seine,0
seethe,1
seesaw,0
seer,0
seemed,0
seem,15
strongly,0
seeke,0
seek,7
seeing,0
seed,0
troubled,0
seduce,0
sediment,0
security,1
securely,0
secured,0
secundus,0
secunda,0
sect,0
secretly,0
unfasten,1
secretary,0
worse,1
secret,6
secrecy,0
second,11
seclude,0
seaweed,2
seated,0
vngracious,0
seasick,0
seas,0
search,2
sear,0
seamstress,0
seam,0
sirrah,0
seene,0
seales,0
seale,0
seal,3
sea,5
serviceable,0
se,0
scylla,0
scuse,0
thatch,0
scurvy,0
scum,0
sculptured,0
scul,0
scuffle,1
scud,0
scrutinise,1
scrupulous,0
wintry,2
scruple,0
scrubbed,0
scrooge,377
scro,1
scripture,1
submission,0
screwing,0
screaming,0
wolfishly,0
screamed,0
scream,1
scrawl,0
scratcht,0
scraping,0
scrap,1
scrambled,1
scragging,0
scowl,0
transact,0
scouts,0
thewe,0
scout,0
scouring,0
scour,0
vertical,1
scoundrel,0
scottish,0
scot,0
scornful,0
scorne,0
skeleton,0
score,1
scorch,0
scoop,0
scoene,0
scoena,0
scientific,0
scholar,0
schedule,0
scent,1
scena,0
scavenger,0
scatter,3
scathe,0
scarft,0
scarf,0
withered,1
sunny,0
scarecrow,0
scare,0
scarcely,11
scar,0
scape,0
scanty,2
scanter,0
scant,1
scann,0
scan,0
scabbard,1
saylor,0
saying,0
sayest,0
say,268
sawyer,0
sawn,0
saw,2
savour,1
saving,0
swollen,0
saveloy,0
savagely,0
savage,1
scrupulously,0
sauory,0
saue,0
saucy,0
sturdily,1
satyricall,0
satyre,0
shortest,0
saturnine,0
saturate,0
satisfy,0
satisfied,2
unclean,0
table,13
satisfactory,2
satisfaction,1
sate,0
sash,0
worm,0
sarcastic,0
sarcasm,0
sank,0
submerge,0
sanitie,0
sanguine,0
sane,0
sandy,0
sandal,0
seconded,0
sand,0
sancturize,0
sanctuary,0
sanctity,0
sanctify,0
samson,0
sampson,0
sample,0
samp,0
salvation,0
salute,0
salutation,0
salutary,0
salt,1
ster,0
sallying,0
sallow,0
sallet,0
sallery,0
salary,2
sake,4
saith,0
sailor,0
saide,0
sage,2
sagacity,0
shre,0
safe,1
separate,2
sadness,0
sadler,0
saddling,0
saddle,0
soundpost,0
sadder,0
saddened,0
sad,1
sacristan,0
sacrificed,0
sacrifice,0
sacrific,0
wept,0
sacred,1
sabre,0
xvii,0
slam,0
sable,0
sabbath,0
sa,0
rye,0
ry,0
rustling,1
rustle,0
rusted,0
russet,0
rushed,0
running,1
runne,0
vnyoake,0
rung,0
runaway,0
run,9
rummage,0
ruminate,0
rules,0
rule,2
rul,0
ruine,0
ruinating,0
rugged,0
rugge,0
ruffle,0
skid,0
ruffian,0
ruefully,0
rue,0
rude,2
rubbing,0
rubber,0
rub,3
roystere,0
royal,0
rowse,0
unfit,0
rowe,0
routine,0
rousing,0
roused,0
rouse,1
round,34
roughness,0
roughest,0
rough,2
sugar,2
rouce,0
stoupe,0
rottenness,0
sadly,0
rotten,0
rotherhithe,0
rote,0
rot,0
rosy,0
rossius,0
rosincran,0
rosin,0
rosemary,0
unhandsomely,0
unchecked,0
rose,2
rosaline,0
rooteth,0
swag,0
root,1
tribunal,0
roost,0
rooms,0
towel,1
roome,0
room,38
rook,0
romeo,0
rome,0
roman,0
rom,0
rolling,0
rol,0
roger,1
rod,2
rocke,0
rock,1
robin,3
robert,2
robe,9
robbery,0
robber,0
rob,0
roasting,0
roaring,0
roared,1
roadway,0
roadside,0
river,1
rival,0
rueful,0
riuet,0
riual,0
rites,0
rising,0
risen,0
rise,6
ripen,0
ut,1
sensation,2
ripe,1
riotous,0
riot,0
ringer,0
